brand,name,price,ingredients
American Crew,fiber-and-daily-shampoo-set,$24.90,"['Fiber: Aqua/Water/Eau', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Cetearyl Alcohol', ' PVP', ' Tridecyl Stearate', ' Tribehenin', ' Propylene Glycol', ' Alcohol Denat.', ' TridecylTrimellitate', ' Ceteareth-25', ' PEG-8 Beeswax', ' PEG-40 Castor Oil', ' Dipentaerythrityl Hexacaprylate/Hexacaprate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', 'Tetrasodium EDTA', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben', ' Caramel', ' CI 19140 (Yellow 5).Daily Shampoo: Aqua/Water/Eau', ' Sodium Laureth Sulfate', ' Lauryl Glucoside', ' Isostearamide MIPA', ' Cocamidopropyl Betaine', ' Decyl Glucoside', ' PEG-12 Dimethicone', ' Caprylyl Glycol', ' PEG150 Distearate', ' Glyceryl Laurate', ' Menthol', ' Disodium EDTA', ' Polyquaternium-10', ' Propylene Glycol', ' Glycerin', ' Salvia Officinalis (Sage) Leaf Extract', ' Citric Acid', ' Sodium Chloride', 'Chamomilla Recutita (Matricaria) Flower Extract', ' Parfum (Fragrance)', ' Linalool', ' Phenoxyethanol.']"
American Crew,fiber-cream,$18.50,"['Aqua/Water/Eau', ' PVP', ' Cera Alba (Beeswax (Cire D’abeille))', ' VP/VA Copolymer', ' Glycerin', ' C12-15 Alkyl Benzoate', ' Ozokerite', ' Petrolatum', ' Glyceryl Stearate', ' PEG-7 GlycerylCocoate', ' Polyquaternium-69', ' Steareth-20', ' Stearic Acid', ' Potassium Cetyl Phosphate', ' Alcohol Denat.', ' Isostearamide MIPA', ' Polysorbate 60', ' Methyl Gluceth-20', ' Cetearyl Alcohol', ' Hydroxyethylcellulose', ' Cetyl Alcohol', ' Behentrimonium Methosulfate', ' Glyceryl Laurate', ' PEG-90M', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', 'Phenoxyethanol', ' Methylparaben', ' Ethylparaben.']"
American Crew,fiber-grooming-foam,,"['Aqua/Water/Eau', ' Butane', ' Propane', ' Polyquaternium-68', ' Propylene Glycol', ' Polyquaternium-11', ' Isobutane', ' Ceteareth-20', ' Cetrimonium Chloride', ' Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein', ' Ethane', ' Hydroxyacetophenone', ' Laureth-4', ' PEG-7 Hydrogenated Castor Oil', ' PEG-90M', ' Panthenol', ' Sodium Chloride', ' Tocopheryl Acetate', ' Triethanolamine', ' Wheat Amino Acids', ' Ethylhexyl Methoxycinnamate', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Citral', ' Citronellol', ' Geraniol', ' Limonene', ' Linalool.']"
American Crew,firm-hold-styling-cream,,"['Aqua/Water/Eau', ' VP/Dimethylaminoethylmethacrylate Copolymer', ' Acrylates Crosspolymer-3', ' Aminomethyl Propanol', ' Acrylates Copolymer', ' Panthenol', ' PEG-40Hydrogenated Castor Oil', ' Parfum (Fragrance)', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Butylphenyl Methylpropional', ' Hexyl Cinnamal', ' Alpha-Isomethyl Ionone', ' Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde', ' Hydroxycitronellal', ' Geraniol', ' Phenoxyethanol', ' Methylisothiazolinone.']"
American Crew,firm-hold-styling-gel-tube,$34.00,"['Aqua/Water/Eau', ' VP/VA Copolymer', ' PVP', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Polysorbate 20', ' Caprylyl Glycol', ' Triethanolamine', ' Panthenol', ' Tetrasodium EDTA', 'Allantoin', ' Carthamus Tinctorius (Safflower) Seed Oil', ' Propylene Glycol', ' Panax Ginseng Root Extract', ' Quillaja Saponaria Bark Extract', ' Parfum (Fragrance)', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Phenoxyethanol.']"
American Crew,forming-cream,$19.50,"['Aqua/Water/Eau', ' Petrolatum', ' Cetearyl Alcohol', ' Bis-Diglyceryl Polyacyladipate-2', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Steareth-21', ' PVP', ' Ceteareth-25', ' Copernicia Cerifera (Carnauba) Wax (Cire De Carnauba)', ' Propylene Glycol', ' VP/VA Copolymer', ' Ozokerite', ' Paraffinum Liquidum (Mineral Oil) (Huile Minérale)', ' Diethylhexyl Malate', ' PEG- 40 Castor Oil', ' Alcohol Denat.', ' PEG-10 Soy Sterol', ' Sucrose', ' Cereus Grandiflorus (Cactus) Flower Extract', ' Glycerin', ' Parfum (Fragrance)', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Coumarin', ' Geraniol', ' BenzylBenzoate', ' Hexyl Cinnamal', ' Citral', ' Butylphenyl Methylpropional', ' Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde', ' Alpha-Isomethyl Ionone', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben.']"
American Crew,forming-cream-and-daily-shampoo-set,$24.90,"['Forming Cream: Aqua/Water/Eau', ' Petrolatum', ' Cetearyl Alcohol', ' Bis-Diglyceryl Polyacyladipate-2', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Steareth-21', ' PVP', ' Ceteareth-25', ' Copernicia Cerifera (Carnauba) Wax (Cire De Carnauba)', ' Propylene Glycol', ' VP/VA Copolymer', ' Ozokerite', ' Paraffinum Liquidum (Mineral Oil) (Huile Minérale)', ' Diethylhexyl Malate', ' PEG- 40 Castor Oil', ' Alcohol Denat.', ' PEG-10 Soy Sterol', ' Sucrose', ' Cereus Grandiflorus (Cactus) Flower Extract', ' Glycerin', ' Parfum (Fragrance)', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Coumarin', ' Geraniol', ' BenzylBenzoate', ' Hexyl Cinnamal', ' Citral', ' Butylphenyl Methylpropional', ' Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde', ' Alpha-Isomethyl Ionone', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben.Daily Shampoo: Aqua/Water/Eau', ' Sodium Laureth Sulfate', ' Lauryl Glucoside', ' Isostearamide MIPA', ' Cocamidopropyl Betaine', ' Decyl Glucoside', ' PEG-12 Dimethicone', ' Caprylyl Glycol', ' PEG150 Distearate', ' Glyceryl Laurate', ' Menthol', ' Disodium EDTA', ' Polyquaternium-10', ' Propylene Glycol', ' Glycerin', ' Salvia Officinalis (Sage) Leaf Extract', ' Citric Acid', ' Sodium Chloride', 'Chamomilla Recutita (Matricaria) Flower Extract', ' Parfum (Fragrance)', ' Linalool', ' Phenoxyethanol.']"
American Crew,grooming-cream,$19.50,"['Aqua/Water/Eau', ' Lanolin', ' Caprylic/Capric/Stearic Triglyceride', ' Hydrogenated Rosin', ' PEG-40 Sorbitan Peroleate', ' VP/VA Copolymer', ' Cera Alba (Beeswax (Cire D’abeille))', 'Hydrogenated Castor Oil', ' Ricinus Communis (Castor) Seed Oil', ' PEG-40 Hydrogenated Castor Oil', ' Cocos Nucifera (Coconut) Oil', ' Lanolin Cera (Lanolin Wax (Cire De Lanoline))', ' Phenoxyethanol', ' PEG-10 Soy Sterol', ' PEG-60 Almond Glycerides', ' Wheat Germ Glycerides', ' Helianthus Annuus (Sunflower) Seed Oil', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Aloe Barbadensis Leaf Juice', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Potassium Sorbate', ' Methylparaben', ' Ethylparaben', ' Propylparaben.']"
American Crew,heavy-hold-pomade,$19.50,"['Aqua/Water/Eau', ' Ceteareth-25', ' PVP', ' PEG-7 Glyceryl Cocoate', ' Glycerin', ' Propylene Glycol', ' Oleth-20', ' Cocamidopropyl Betaine', ' Decyl Glucoside', ' PEG-12 Dimethicone', 'Sodium Lauryl Sulfate', ' Polysorbate 60', ' PEG-25 Hydrogenated Castor Oil', ' Parfum (Fragrance)', ' Linalool', ' Limonene', ' Hexyl Cinnamal', ' Benzyl Salicylate', ' Alpha-Isomethyl Ionone', 'Citronellol', ' Hydroxycitronellal', ' Geraniol', ' Citral', ' Phenoxyethanol', ' Methylparaben', ' Ethylparaben.']"
American Crew,light-hold-styling-gel-tube,$25.00,"['Aqua/Water/Eau', ' VP/VA Copolymer', ' PVP', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Polysorbate 20', ' Caprylyl Glycol', ' Triethanolamine', ' Panthenol', ' Tetrasodium EDTA', 'Allantoin', ' Propylene Glycol', ' Carthamus Tinctorius (Safflower) Seed Oil', ' Salvia Officinalis (Sage) Leaf Extract', ' Panax Ginseng Root Extract', ' Quillaja Saponaria Bark Extract', ' Parfum (Fragrance)', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Phenoxyethanol.']"
